,Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
55,1,2,8,3,14,24,17,4,3,3,2,1,4,4,4,7,3,3,2,3,2,2,2,3,3,4,1,3,3,2,2,3,1,0
62,1,2,13,3,23,14,17,3,2,4,4,5,3,3,4,7,3,1,3,3,3,2,3,3,1,2,1,1,1,1,4,1,1,0
70,0,2,13,3,29,24,15,4,2,4,4,1,3,3,3,7,3,1,3,1,1,2,1,3,3,4,2,1,1,1,4,1,0,1
257,1,1,13,4,23,25,18,1,3,3,3,1,3,3,3,7,3,1,1,1,1,2,1,3,1,1,1,1,1,1,3,1,1,0
259,1,2,8,3,14,24,16,3,3,4,4,1,3,3,3,7,3,3,3,4,2,2,3,3,3,2,2,3,3,3,3,4,1,0
262,1,1,9,3,14,16,27,2,4,4,4,1,3,4,4,7,3,2,3,3,2,2,3,3,2,3,3,3,3,3,4,4,1,0
273,1,2,8,3,12,34,27,3,2,2,3,1,4,4,4,7,4,1,2,2,2,2,3,4,4,3,3,3,3,3,3,2,1,0
274,1,0,8,3,14,24,27,3,2,4,4,1,3,3,3,7,3,2,2,3,1,2,2,3,2,3,3,3,2,1,4,1,1,0
275,1,1,13,4,23,14,33,3,2,3,4,1,4,3,2,7,3,3,3,3,2,2,2,3,2,2,2,2,2,3,4,2,0,0
715,1,0,13,3,23,14,0,3,4,4,4,1,3,3,3,7,3,3,4,2,1,3,3,3,2,2,2,2,2,2,4,2,1,0
811,0,2,8,4,2,14,26,4,2,4,4,1,2,2,3,7,2,1,3,3,3,2,2,2,3,3,3,2,1,3,3,1,0,1
983,1,2,13,3,30,24,12,3,2,2,3,1,3,4,4,7,3,2,2,3,1,2,3,3,3,3,4,3,3,3,1,2,1,0
1169,0,1,1,0,9,6,6,4,4,4,2,1,3,3,2,7,4,2,3,3,2,2,4,4,4,2,4,3,3,3,2,3,1,0
1171,1,0,9,3,33,5,12,4,4,4,4,1,4,1,1,7,3,2,2,4,2,2,4,3,4,2,1,3,3,3,1,4,0,1
1182,0,2,2,0,7,5,15,3,3,3,3,1,3,2,3,7,2,2,2,3,3,3,3,2,2,3,3,2,2,3,4,3,0,1
1258,0,2,2,0,7,5,10,2,3,3,3,1,2,2,2,7,3,2,2,3,3,3,2,3,2,3,3,2,2,3,3,3,0,1
1261,0,2,12,3,22,29,12,3,4,4,4,1,2,2,2,7,1,4,1,1,3,3,1,1,2,4,4,2,1,1,4,1,0,1
1290,0,1,8,3,14,16,33,3,2,4,4,1,3,4,3,7,3,4,2,2,3,3,1,3,3,4,2,2,2,2,3,2,1,0
1597,0,2,16,4,5,7,10,4,4,4,4,1,3,3,2,7,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,0
